public_product_id,marketplace,brand_group,category_group,subcategory_group,product_group,fulfillment_type,listing_price_band,inventory_band,margin_band_public,profitability_band_public,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_index,estimated_profitability_index,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band,recommended_action,action_priority,action_reason
P0565,Flipkart,Pair,Skin Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,36.2,36.7,15.6,6.7,4.0,87.9,38.8,67.4,6.3,Low Risk,82.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0041,Flipkart,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,36.0,34.5,15.2,4.2,4.5,89.6,39.9,68.8,6.2,Low Risk,83.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1029,Amazon,Sunsilk,Hair Care,Shampoo,Shampoo,FBA,<500,High / 16-50,Unmapped,Unmapped,35.8,84.3,36.5,5.2,3.7,72.5,28.3,54.2,13.4,Low Risk,62.5,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0547,Flipkart,Oral-B,Oral Care,Dental Floss,Dental Floss,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,35.6,34.3,15.2,4.5,4.1,91.6,39.4,69.4,6.2,Low Risk,85.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1085,Flipkart,Tresemme,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,35.5,36.3,15.0,3.2,4.0,92.8,40.2,70.4,6.1,Low Risk,86.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1249,Amazon,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,35.4,95.3,39.1,4.3,3.6,72.1,27.2,53.3,14.4,Low Risk,60.6,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0488,Flipkart,Listerine,Oral Care,Mouthwash,Mouthwash,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,35.4,34.1,15.2,5.0,3.5,91.2,39.2,69.2,6.2,Low Risk,85.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1052,Amazon,Sunsilk,Hair Care,Shampoo,Shampoo,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,35.2,83.3,37.0,4.4,3.9,72.6,28.0,54.1,13.6,Low Risk,61.4,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1200,Amazon,Watsons,Oral Care,Dental Floss,Dental Floss,FBA,<500,Low / 3-5,Unmapped,Unmapped,34.9,94.1,40.4,5.9,4.2,68.9,25.1,50.8,14.9,Low Risk,58.0,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1109,Flipkart,Vaseline,Body Care,Body Wash,Body Wash,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,34.8,34.1,15.4,4.8,4.5,90.0,38.1,68.2,6.4,Low Risk,84.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0235,Flipkart,Counterpain,Health & Wellness,Pain Relief Balm,Pain Relief,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,34.7,36.9,15.5,5.6,3.7,91.8,37.9,68.8,6.4,Low Risk,84.6,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0427,Amazon,Kaowmanee,Skin Care,General / Uncategorized,General Product,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,34.5,90.4,38.8,6.3,4.1,70.8,25.4,51.9,14.3,Low Risk,60.0,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0679,Amazon,Poy Sian,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,Medium / 6-15,Unmapped,Unmapped,34.4,81.0,36.2,2.6,3.6,75.7,28.7,56.0,13.5,Low Risk,64.5,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1162,Flipkart,Vita Keratin,Hair Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,34.3,34.9,15.6,7.2,4.0,88.0,36.5,66.4,6.4,Low Risk,83.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1072,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,High / 16-50,Unmapped,Unmapped,34.2,92.4,39.7,5.0,4.3,70.6,25.3,51.7,14.6,Low Risk,59.3,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1038,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,34.2,80.2,36.7,4.7,4.4,72.0,26.9,53.4,13.6,Low Risk,60.9,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0264,Flipkart,Dove,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,High / 16-50,Unmapped,Unmapped,33.8,41.6,15.5,5.2,3.8,89.9,37.1,67.7,6.4,Low Risk,83.8,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0605,Flipkart,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,33.8,32.4,15.4,6.7,3.8,88.4,36.4,66.7,6.3,Low Risk,84.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0604,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,33.7,36.1,12.9,1.7,4.1,95.3,39.8,71.7,5.3,Low Risk,90.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0534,Flipkart,Nexcare,Skin Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,33.6,40.4,15.6,5.6,4.1,88.9,36.5,67.0,6.5,Low Risk,82.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0218,Flipkart,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,33.2,37.3,15.4,4.9,4.1,90.6,36.5,67.8,6.3,Low Risk,85.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0553,Meesho,Oral-B,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,33.1,33.7,13.2,4.3,4.2,92.7,37.6,69.4,5.6,Low Risk,87.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1070,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,Medium / 6-15,Unmapped,Unmapped,33.0,89.0,39.9,6.2,4.2,69.4,23.8,50.5,14.7,Low Risk,58.4,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1218,Amazon,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,<500,Low / 3-5,Unmapped,Unmapped,33.0,89.0,39.2,4.9,3.7,71.4,25.0,52.1,14.5,Low Risk,60.1,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1042,Meesho,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,33.0,33.5,13.3,5.2,3.9,92.6,37.1,69.1,5.8,Low Risk,85.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1026,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,<500,Low / 3-5,Unmapped,Unmapped,32.9,79.6,37.0,3.7,3.9,73.6,26.5,54.0,13.7,Low Risk,61.8,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0175,Flipkart,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,32.7,39.4,15.4,3.2,3.7,91.9,36.9,68.7,6.3,Low Risk,85.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0343,Flipkart,Fino,Hair Care,Hair Oil / Serum,Hair Oil & Serum,Merchant Fulfilled,1000-1499,Out of Stock / 0,Unmapped,Unmapped,32.7,33.7,15.5,3.4,3.7,92.1,36.7,68.6,6.3,Low Risk,85.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0744,Flipkart,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,32.5,39.0,15.5,5.2,4.1,89.9,35.5,67.0,6.5,Low Risk,83.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0172,Meesho,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,32.5,32.9,13.2,3.7,4.5,92.6,37.1,69.2,5.6,Low Risk,86.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0780,Meesho,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,32.5,32.7,13.1,4.7,4.1,92.2,36.9,68.9,5.6,Low Risk,86.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1071,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,High / 16-50,Unmapped,Unmapped,32.4,88.0,40.4,6.2,3.8,69.8,23.3,50.4,14.7,Low Risk,58.4,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1251,Amazon,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,32.4,87.3,39.2,3.8,4.1,70.6,24.9,51.8,14.6,Low Risk,58.9,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P1069,Flipkart,Tiger Balm,Health & Wellness,Pain Relief Balm,Pain Relief,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,32.3,34.5,15.7,9.6,4.2,85.2,33.0,63.7,6.6,Low Risk,80.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0602,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,32.2,32.7,13.1,2.1,3.9,95.4,37.8,70.9,5.3,Low Risk,90.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0156,Flipkart,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Very High / 51+,Unmapped,Unmapped,32.1,34.5,15.9,5.3,3.8,89.7,35.0,66.7,6.4,Low Risk,84.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1214,Amazon,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,<500,Very Low / 1-2,Unmapped,Unmapped,31.9,85.9,39.4,3.3,4.3,72.5,24.6,52.5,14.6,Low Risk,60.9,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0563,Flipkart,Oral-B,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,31.8,38.6,15.4,4.2,3.8,92.6,35.4,68.2,6.3,Low Risk,86.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1120,Flipkart,Vaseline,Skin Care,Body Scrub,Body Scrub,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,31.7,38.2,15.7,8.3,3.9,87.9,33.2,65.0,6.5,Low Risk,82.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0437,Flipkart,L'Oreal Paris,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Very High / 51+,Unmapped,Unmapped,31.6,38.0,15.3,3.8,4.4,90.8,35.1,67.4,6.3,Low Risk,85.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0747,Flipkart,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,31.6,38.0,15.3,3.3,3.8,92.5,35.6,68.4,6.2,Low Risk,86.6,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0342,Meesho,Fino,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,31.5,31.8,13.6,8.1,3.5,91.3,34.2,67.1,5.9,Low Risk,83.6,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0022,Meesho,Ambi Pur,Home & Kitchen,Air Freshener,Air Freshener,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,31.4,31.8,13.2,6.2,4.0,92.5,34.9,68.1,5.7,Low Risk,85.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0279,Meesho,Dove,Body Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,31.3,31.8,13.4,2.6,3.9,94.6,36.4,69.9,5.5,Low Risk,88.8,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0590,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,31.2,31.6,13.2,4.4,4.0,93.2,35.5,68.8,5.6,Low Risk,86.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0252,Meesho,Dove,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,30.7,31.2,13.4,5.6,3.7,91.5,34.5,67.6,5.7,Low Risk,85.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1114,Flipkart,Vaseline,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,30.6,42.2,15.7,2.3,4.2,94.3,34.6,68.7,6.3,Low Risk,87.8,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0753,Flipkart,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,30.5,36.5,15.9,8.2,4.5,85.4,31.6,63.3,6.7,Low Risk,80.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0783,Meesho,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,30.5,30.8,13.6,5.2,3.9,92.6,34.2,67.9,5.7,Low Risk,87.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0566,Meesho,Pantene,Hair Care,Shampoo,Shampoo,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,30.4,32.4,13.2,5.3,4.0,92.8,34.1,68.0,5.7,Low Risk,85.7,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0594,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,30.4,30.8,12.9,1.9,4.1,94.9,35.8,69.9,5.3,Low Risk,89.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0581,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,30.3,30.8,12.9,2.3,4.3,94.7,35.4,69.6,5.5,Low Risk,88.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0813,Meesho,Sensodyne,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,30.3,30.8,13.3,8.1,4.0,89.2,32.8,65.7,5.8,Low Risk,83.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0529,Meesho,NEXCARE,Skin Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,30.1,30.6,13.0,2.4,4.4,93.7,35.1,69.1,5.4,Low Risk,89.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0777,Meesho,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,30.1,30.4,13.1,3.8,4.6,92.9,34.2,68.2,5.6,Low Risk,87.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0554,Meesho,Oral-B,Oral Care,Dental Floss,Dental Floss,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,29.9,30.2,13.5,6.2,3.6,91.4,33.4,67.0,5.7,Low Risk,85.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1150,Flipkart,Vaseline,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,29.7,41.0,15.4,1.2,4.5,95.0,34.1,69.0,6.2,Low Risk,88.6,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0617,Meesho,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,29.7,30.2,13.3,6.4,3.9,91.2,33.0,66.8,5.7,Low Risk,85.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0230,Meesho,Counterpain,Health & Wellness,Pain Relief Balm,Pain Relief,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,29.6,30.2,13.3,4.8,4.2,91.1,33.4,67.1,5.6,Low Risk,86.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0034,Flipkart,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,29.5,40.6,15.8,4.1,4.0,91.6,32.6,66.6,6.4,Low Risk,85.6,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1107,Flipkart,Vaseline,Body Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,29.5,40.4,15.4,4.1,3.9,91.5,32.8,66.8,6.3,Low Risk,85.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0889,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,Very High / 51+,Unmapped,Unmapped,29.4,92.4,44.1,5.6,4.1,67.1,19.7,47.3,16.2,Low Risk,55.2,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0039,Flipkart,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,29.4,42.7,15.5,3.9,4.0,92.2,32.7,67.0,6.3,Low Risk,85.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1043,Meesho,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,29.0,30.8,13.2,4.8,4.1,92.8,32.7,67.5,5.6,Low Risk,86.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0041,Meesho,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,28.9,29.2,13.6,9.5,4.1,88.4,30.5,64.2,6.0,Low Risk,82.7,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1080,Meesho,Tresemme,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,28.8,29.2,12.8,2.3,3.6,95.1,34.0,69.3,5.2,Low Risk,90.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0082,Flipkart,Biore,Skin Care,Sunscreen,Sunscreen,Merchant Fulfilled,500-999,Very High / 51+,Unmapped,Unmapped,28.4,36.3,15.6,4.4,4.7,90.8,31.1,65.7,6.5,Low Risk,84.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0781,Meesho,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,28.3,28.8,13.4,3.0,3.8,93.7,32.8,68.1,5.5,Low Risk,88.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0917,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Adhesive Hooks,FBA,<500,Low / 3-5,Unmapped,Unmapped,28.2,88.8,44.8,5.5,4.0,67.1,18.7,46.8,16.6,Low Risk,54.4,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0932,Amazon,SHIVAMAX,Electronics & Travel Accessories,Travel Adapter,Travel Adapter,FBA,<500,Very High / 51+,Unmapped,Unmapped,28.2,88.8,43.5,2.8,4.0,69.5,20.3,49.0,16.3,Low Risk,56.4,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0922,Meesho,SHIVAMAX,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,28.2,29.4,13.4,4.2,4.4,91.1,31.9,66.5,5.6,Low Risk,85.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1085,Meesho,Tresemme,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,28.1,30.0,13.3,0.9,4.2,96.0,33.3,69.4,5.4,Low Risk,90.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0610,Meesho,Pantene,Hair Care,Hair Oil / Serum,Hair Oil & Serum,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,28.1,28.4,13.2,5.3,4.2,91.7,31.5,66.5,5.6,Low Risk,86.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0915,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,Medium / 6-15,Unmapped,Unmapped,27.9,88.2,43.9,5.5,3.6,68.2,19.0,47.6,16.1,Low Risk,55.1,Watch,Fee Review,High,High sales-index product with elevated fee percentage.
P0548,Meesho,Oral-B,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,27.9,29.8,12.7,1.8,4.5,95.4,32.9,69.0,5.3,Low Risk,89.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0906,Meesho,SHIVAMAX,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,27.9,28.4,13.3,5.6,3.5,91.1,31.4,66.2,5.7,Low Risk,84.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0246,Flipkart,Dove,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,27.8,35.1,15.2,1.4,3.9,95.1,32.0,68.2,6.0,Low Risk,89.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0168,Meesho,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,27.8,28.4,13.5,3.3,3.7,92.3,32.1,67.2,5.6,Low Risk,86.3,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0528,Flipkart,NEXCARE,Skin Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,27.7,35.7,15.3,3.8,3.6,91.9,31.0,66.3,6.2,Low Risk,86.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1157,Meesho,Vaseline,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,27.6,29.6,13.6,8.8,4.3,89.0,29.4,64.1,6.0,Low Risk,83.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0029,Meesho,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,27.5,27.8,13.3,4.8,3.4,92.8,31.3,66.9,5.6,Low Risk,87.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0343,Meesho,Fino,Hair Care,Hair Oil / Serum,Hair Oil & Serum,Merchant Fulfilled,1000-1499,Out of Stock / 0,Unmapped,Unmapped,27.3,29.6,13.2,3.6,3.7,94.0,31.5,67.6,5.5,Low Risk,88.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0586,Meesho,Pantene,Hair Care,General / Uncategorized,General Product,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,27.3,27.8,12.8,3.7,4.2,94.5,31.5,67.8,5.4,Low Risk,88.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0042,Meesho,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,27.3,27.6,12.8,2.8,3.9,94.5,31.9,68.1,5.2,Low Risk,89.7,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1121,Meesho,Vaseline,Body Care,Body Wash,Body Wash,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,27.2,27.8,13.5,5.8,4.0,91.4,30.3,65.8,5.8,Low Risk,84.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0795,Meesho,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,27.2,27.3,13.4,3.6,4.4,93.1,31.0,67.0,5.7,Low Risk,86.5,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0931,Flipkart,SHIVAMAX,Electronics & Travel Accessories,General / Uncategorized,General Product,Merchant Fulfilled,<500,Out of Stock / 0,Unmapped,Unmapped,26.9,43.5,15.8,8.3,4.3,87.4,28.0,62.6,6.6,Low Risk,81.9,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0562,Meesho,Oral-B,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,26.9,27.6,13.5,6.8,3.9,89.6,29.6,64.7,5.9,Low Risk,84.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0178,Flipkart,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Low / 3-5,Unmapped,Unmapped,26.8,38.8,15.6,5.6,4.2,89.3,29.1,64.2,6.4,Low Risk,84.2,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0218,Meesho,Colgate,Oral Care,Toothpaste,Toothpaste,Merchant Fulfilled,500-999,Out of Stock / 0,Unmapped,Unmapped,26.8,31.8,13.5,5.3,4.0,93.0,30.1,66.4,5.7,Low Risk,87.0,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P1121,Website,Vaseline,Body Care,Body Wash,Body Wash,Merchant Fulfilled,500-999,Very Low / 1-2,Unmapped,Unmapped,26.8,26.1,5.5,5.2,4.0,102.3,33.2,72.2,3.1,Low Risk,91.8,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
